Season,Tm,PER_MP
2004-2005,CLE,30637.114311657995
2004-2005,DAL,32660.656249123716
2004-2005,DEN,30000.79926006185
2004-2005,DET,30561.809464366317
2004-2005,GSW,27585.595807489884
2004-2005,HOU,28356.35501020873
2004-2005,IND,27074.875131743
2004-2005,LAC,29705.935355537662
2004-2005,LAL,29385.059839350753
2004-2005,MEM,29131.534004252055
2004-2005,MIA,32232.829475204588
2004-2005,MIL,28502.423255052763
2004-2005,MIN,30586.71417439633
2004-2005,NJN,24804.40354454807
2004-2005,NOH,21666.62031798179
2004-2005,NYK,28777.615164605424
2004-2005,ORL,28105.85921943096
2004-2005,PHI,27883.309054348327
2004-2005,PHO,34470.368596672626
2004-2005,POR,28010.665183284025
2004-2005,SAC,29659.888872435873
2004-2005,SAS,30850.93856906328
2004-2005,SEA,31592.695454410834
2004-2005,TOR,29445.29038385472
2004-2005,UTA,25458.995670472144
2004-2005,WAS,29621.25529124484
2005-2006,ATL,30104.027894230134
2005-2006,BOS,28478.366093529403
2005-2006,CHA,27981.367083156336
2005-2006,CHI,28336.428720810945
2005-2006,CLE,31453.9100392624
2005-2006,DAL,34083.72137533085
2005-2006,DEN,30298.021675015578
2005-2006,DET,34427.24434257966
2005-2006,GSW,29009.163743024255
2005-2006,HOU,26989.436107802143
2005-2006,IND,28483.018517472403
2005-2006,LAC,30701.050752391908
2005-2006,LAL,31887.696885291778
2005-2006,MEM,30395.879785522764
2005-2006,MIA,31571.918708541838
2005-2006,MIL,30181.989219192346
2005-2006,MIN,27678.53099711628
2005-2006,NJN,28868.151106080073
2005-2006,NOK,28544.216683437626
2005-2006,NYK,24670.805504746546
2005-2006,ORL,28905.315595475153
2005-2006,PHI,31365.93051496186
2005-2006,PHO,34263.13609148721
2005-2006,POR,26297.597760774806
2005-2006,SAC,30820.24631179371
2005-2006,SAS,31916.85034353395
2005-2006,SEA,31140.84373279563
2005-2006,TOR,30661.253276236894
2005-2006,UTA,28750.308943973516
2005-2006,WAS,31845.818847847462
2006-2007,ATL,27651.82688758752
2006-2007,BOS,27031.1568024681
2006-2007,CHA,28025.36394670744
2006-2007,CHI,29869.588783322095
2006-2007,CLE,30064.964349836562
2006-2007,DAL,32981.77806314037
2006-2007,DEN,30784.678177546415
2006-2007,DET,32640.86623911945
2006-2007,GSW,29125.259587183144
2006-2007,HOU,30155.656336691547
2006-2007,IND,26010.16899919382
2006-2007,LAC,29953.78243856007
2006-2007,LAL,31164.453357178547
2006-2007,MEM,28856.779385251997
2006-2007,MIA,29340.830753113187
2006-2007,MIL,29043.94756093537
2006-2007,MIN,28713.874278429717
2006-2007,NJN,28481.844034075737
2006-2007,NOK,29005.38964091636
2006-2007,NYK,28791.89774870347
2006-2007,ORL,28734.915330741514
2006-2007,PHI,28083.855556605504
2006-2007,PHO,34853.56915616993
2006-2007,POR,28308.884606982287
2006-2007,SAC,29688.087868434857
2006-2007,SAS,32419.223525436926
2006-2007,SEA,30595.817049067835
2006-2007,TOR,30376.711840152824
2006-2007,UTA,31372.46041106826
2006-2007,WAS,31677.510979019466
2007-2008,ATL,30000.724235357182
2007-2008,BOS,31622.27160429508
2007-2008,CHA,28592.69341542425
2007-2008,CHI,27274.9924455713
2007-2008,CLE,27620.434296401672
2007-2008,DAL,30864.101560011815
2007-2008,DEN,32793.66487009892
2007-2008,DET,31878.588188632373
2007-2008,GSW,32260.57465312754
2007-2008,HOU,28742.539966494154
2007-2008,IND,27701.493462993065
2007-2008,LAC,25211.498523773505
2007-2008,LAL,32923.39041468585
2007-2008,MEM,26954.085838842337
2007-2008,MIA,23328.963559915337
2007-2008,MIL,27969.167723135804
2007-2008,MIN,27054.46254122614
2007-2008,NJN,25954.3382329419
2007-2008,NOH,32524.822422020035
2007-2008,NYK,27087.426330619088
2007-2008,ORL,31164.425259846903
2007-2008,PHI,30618.486978410325
2007-2008,PHO,33585.65476558252
2007-2008,POR,29738.633208084266
2007-2008,SAC,29271.231098320848
2007-2008,SAS,29288.954896526862
2007-2008,SEA,26159.383563915442
2007-2008,TOR,31915.53458936619
2007-2008,UTA,33385.51092956856
2007-2008,WAS,31711.67006974325
2008-2009,ATL,29472.149557687433
2008-2009,BOS,29566.824554107287
2008-2009,CHA,24759.855941790007
2008-2009,CHI,28025.92733785023
2008-2009,CLE,31355.812916608305
2008-2009,DAL,30483.95044037748
2008-2009,DEN,30022.06647616485
2008-2009,DET,28672.159625579818
2008-2009,GSW,28851.748069956608
2008-2009,HOU,28701.928273565074
2008-2009,IND,28038.756980589485
2008-2009,LAC,24087.69614049885
2008-2009,LAL,31872.37484006848
2008-2009,MEM,26335.882816329486
2008-2009,MIA,28666.977705037076
2008-2009,MIL,25863.42396114067
2008-2009,MIN,25829.79803932483
2008-2009,NJN,28191.98128811894
2008-2009,NOH,29006.945815078037
2008-2009,NYK,27008.69012798155
2008-2009,OKC,24607.694963701953
2008-2009,ORL,29033.05590047561
2008-2009,PHI,28948.664931494455
2008-2009,PHO,30401.33574809904
2008-2009,POR,31807.363346412832
2008-2009,SAC,24469.659467475052
2008-2009,SAS,28829.673164549953
2008-2009,TOR,27771.0241622403
2008-2009,UTA,29776.32259882161
2008-2009,WAS,26171.752607636066
2009-2010,ATL,32289.104765780878
2009-2010,BOS,28950.900869733465
2009-2010,CHA,27092.83804470162
2009-2010,CHI,27769.85225205451
2009-2010,CLE,31424.938363609846
2009-2010,DAL,30063.159323860542
2009-2010,DEN,31437.345257396257
2009-2010,DET,27076.045653884958
2009-2010,GSW,26157.6880386608
2009-2010,HOU,28199.659973749905
2009-2010,IND,25914.422257911006
2009-2010,LAC,26069.543841071598
2009-2010,LAL,30493.986319125976
2009-2010,MEM,29887.790418514563
2009-2010,MIA,29686.59576638784
2009-2010,MIL,27011.769250183355
2009-2010,MIN,25273.15704379875
2009-2010,NJN,24887.451698375764
2009-2010,NOH,28923.52217906828
2009-2010,NYK,27461.788224695905
2009-2010,OKC,30318.214881531414
2009-2010,ORL,31221.15708787927
2009-2010,PHI,28741.41228093546
2009-2010,PHO,32630.851810009597
2009-2010,POR,28939.59475321419
2009-2010,SAC,26168.972804062865
2009-2010,SAS,29781.06127315958
2009-2010,TOR,30038.861903313566
2009-2010,UTA,30668.51013665393
2009-2010,WAS,24961.052590956115
2010-2011,ATL,28642.275302932412
2010-2011,BOS,28607.306338324808
2010-2011,CHA,26383.442195271607
2010-2011,CHI,31493.14249626931
2010-2011,CLE,23741.527123768075
2010-2011,DAL,30108.1235101194
2010-2011,DEN,30026.975986266396
2010-2011,DET,30371.657692293647
2010-2011,GSW,29624.54552011362
2010-2011,HOU,31382.371575818095
2010-2011,IND,27320.577881497822
2010-2011,LAC,27056.53031264471
2010-2011,LAL,32949.75345845197
2010-2011,MEM,31103.96291693834
2010-2011,MIA,31618.72689298374
2010-2011,MIL,26666.44546881209
2010-2011,MIN,25962.643088318448
2010-2011,NJN,25715.900236818517
2010-2011,NOH,29456.943672536927
2010-2011,NYK,30333.837563756824
2010-2011,OKC,32685.410450025287
2010-2011,ORL,28746.576588086416
2010-2011,PHI,30855.426153810284
2010-2011,PHO,28953.639078859484
2010-2011,POR,31073.899261598413
2010-2011,SAC,26824.324272555208
2010-2011,SAS,32404.880656146695
2010-2011,TOR,27182.1545358759
2010-2011,UTA,29554.314664233887
2010-2011,WAS,25225.508352021916
2011-2012,ATL,23713.15780079937
2011-2012,BOS,20820.457331553785
2011-2012,CHA,18221.07046350392
2011-2012,CHI,24855.272867884083
2011-2012,CLE,19543.421994159966
2011-2012,DAL,22996.54801242507
2011-2012,DEN,23774.723815803754
2011-2012,DET,20768.62857132218
2011-2012,GSW,22074.396048736886
2011-2012,HOU,23182.687718498488
2011-2012,IND,23908.562516501504
2011-2012,LAC,24429.484129528097
2011-2012,LAL,23804.877270958536
2011-2012,MEM,23157.41652660178
2011-2012,MIA,24606.306566882326
2011-2012,MIL,21691.869199809942
2011-2012,MIN,21744.105701773937
2011-2012,NJN,20411.11821974309
2011-2012,NOH,20345.198141243298
2011-2012,NYK,21468.527658071234
2011-2012,OKC,25511.71702701703
2011-2012,ORL,22687.14998560378
2011-2012,PHI,24294.416240362672
2011-2012,PHO,23266.569216424832
2011-2012,POR,22591.230049443166
2011-2012,SAC,22174.259432154835
2011-2012,SAS,24683.04273311204
2011-2012,TOR,20013.428697505606
2011-2012,UTA,24254.246449823342
2011-2012,WAS,19615.67895840635
2012-2013,ATL,28245.325827671826
2012-2013,BOS,28042.4743224478
2012-2013,BRK,30937.341409698758
2012-2013,CHA,26307.5476718495
2012-2013,CHI,28798.414439418422
2012-2013,CLE,26397.46579574146
2012-2013,DAL,29135.30695204788
2012-2013,DEN,33283.25208978608
2012-2013,DET,27262.624234850646
2012-2013,GSW,29428.410500043163
2012-2013,HOU,29776.76309221723
2012-2013,IND,29079.35191566254
2012-2013,LAC,32815.55403770211
2012-2013,LAL,30773.824014347072
2012-2013,MEM,29397.453009958364
2012-2013,MIA,34348.34327612824
2012-2013,MIL,28787.80020174886
2012-2013,MIN,27619.314757124725
2012-2013,NOH,28780.997656342384
2012-2013,NYK,30422.67239540398
2012-2013,OKC,34280.19772496287
2012-2013,ORL,25182.57504719056
2012-2013,PHI,28087.807312352164
2012-2013,PHO,26919.368186294607
2012-2013,POR,28495.107836314422
2012-2013,SAC,27350.7539945241
2012-2013,SAS,30924.56144354065
2012-2013,TOR,27657.361139171175
2012-2013,UTA,30733.474633078946
2012-2013,WAS,25242.792197309715
2013-2014,ATL,28822.969894358193
2013-2014,BOS,25757.421626620784
2013-2014,BRK,27460.910062863844
2013-2014,CHA,27738.611641584543
2013-2014,CHI,28412.27848222991
2013-2014,CLE,27109.584383563313
2013-2014,DAL,32797.984033348934
2013-2014,DEN,27232.85090388185
2013-2014,DET,29581.75461378078
2013-2014,GSW,30309.0709891389
2013-2014,HOU,31861.795234926074
2013-2014,IND,27803.131441337242
2013-2014,LAC,32265.88626453002
2013-2014,LAL,25172.034173979275
2013-2014,MEM,29222.34608879585
2013-2014,MIA,32303.927872803968
2013-2014,MIL,23782.654241942222
2013-2014,MIN,30051.788418741333
2013-2014,NOP,28724.775055075213
2013-2014,NYK,28927.1336548231
2013-2014,OKC,32330.43065232053
2013-2014,ORL,27149.121387667215
2013-2014,PHI,24287.7692912817
2013-2014,PHO,31002.89258229609
2013-2014,POR,31693.42646365274
2013-2014,SAC,26210.71300606288
2013-2014,SAS,31797.741679114726
2013-2014,TOR,29603.59678015461
2013-2014,UTA,27374.93373114549
2013-2014,WAS,29028.093230287584
2014-2015,ATL,30715.338448538605
2014-2015,BOS,25282.36102953264
2014-2015,BRK,27018.70951861801
2014-2015,CHI,30497.68281213083
2014-2015,CHO,25392.284948920234
2014-2015,CLE,29965.45381824332
2014-2015,DAL,29256.507907881398
2014-2015,DEN,24820.824441180597
2014-2015,DET,27035.5060806023
2014-2015,GSW,33219.955626928895
2014-2015,HOU,28338.946160869575
2014-2015,IND,26443.670569053502
2014-2015,LAC,32179.78500731925
2014-2015,LAL,25933.17666240744
2014-2015,MEM,29085.609740599535
2014-2015,MIA,25448.582419732422
2014-2015,MIL,26984.396014040074
2014-2015,MIN,23007.46435484812
2014-2015,NOP,30043.567033175834
2014-2015,NYK,20267.988761896795
2014-2015,OKC,27107.759745050123
2014-2015,ORL,25961.07687711007
2014-2015,PHI,20525.26641280809
2014-2015,PHO,28509.05888767817
2014-2015,POR,28821.419144462925
2014-2015,SAC,26834.302436812417
2014-2015,SAS,30801.504906029746
2014-2015,TOR,31772.843118790963
2014-2015,UTA,28617.517942658786
2014-2015,WAS,27775.629289355118
2015-2016,ATL,27148.493969040897
2015-2016,BOS,27515.691911330145
2015-2016,BRK,23627.876577841653
2015-2016,CHI,25677.740359475312
2015-2016,CHO,27269.571683636164
2015-2016,CLE,28561.54343666873
2015-2016,DAL,25999.22900275547
2015-2016,DEN,25459.29512638411
2015-2016,DET,26445.601696017606
2015-2016,GSW,31564.04495572682
2015-2016,HOU,27130.114943487948
2015-2016,IND,26904.77560693149
2015-2016,LAC,27849.96335018959
2015-2016,LAL,23163.839763901135
2015-2016,MEM,24508.712115794126
2015-2016,MIA,27980.432238430225
2015-2016,MIL,26980.140365300187
2015-2016,MIN,27278.710327741563
2015-2016,NOP,23875.352032298575
2015-2016,NYK,26568.433920487227
2015-2016,OKC,30751.267098373923
2015-2016,ORL,25787.018829216035
2015-2016,PHI,22887.960915581385
2015-2016,PHO,23072.104060289716
2015-2016,POR,27808.539354765027
2015-2016,SAC,27407.740507621707
2015-2016,SAS,29964.55450744799
2015-2016,TOR,29218.81506866853
2015-2016,UTA,26497.86556621903
2015-2016,WAS,25865.740490791675
2016-2017,ATL,26135.628376565724
2016-2017,BOS,29150.979586524758
2016-2017,BRK,23104.22949334541
2016-2017,CHI,27565.300450925042
2016-2017,CHO,28815.574217454498
2016-2017,CLE,29227.407853621015
2016-2017,DAL,24551.091524738982
2016-2017,DEN,29104.058259248053
2016-2017,DET,27109.414112847106
2016-2017,GSW,32799.04256476634
2016-2017,HOU,30782.88164703033
2016-2017,IND,29100.039196439233
2016-2017,LAC,30733.050054150477
2016-2017,LAL,25112.662927329675
2016-2017,MEM,26672.908696244613
2016-2017,MIA,27916.33714940568
2016-2017,MIL,28782.318959813496
2016-2017,MIN,30068.208555082398
2016-2017,NOP,25284.56694389822
2016-2017,NYK,27528.080262198924
2016-2017,OKC,27453.31184113526
2016-2017,ORL,26078.512710742518
2016-2017,PHI,23611.148440855653
2016-2017,PHO,26310.70777709196
2016-2017,POR,29059.137984765155
2016-2017,SAC,24995.111765415902
2016-2017,SAS,30713.35835946036
2016-2017,TOR,29751.524892934645
2016-2017,UTA,28378.181718343967
2016-2017,WAS,29607.146054449648
2017-2018,ATL,23868.889700401432
2017-2018,BOS,26785.792652506745
2017-2018,BRK,25126.448810844988
2017-2018,CHI,23904.60513803318
2017-2018,CHO,28147.15539007678
2017-2018,CLE,26543.31535054605
2017-2018,DAL,25578.94952026352
2017-2018,DEN,29828.011014034262
2017-2018,DET,26390.979874741915
2017-2018,GSW,29508.790248431247
2017-2018,HOU,31702.920356739807
2017-2018,IND,29723.21360662171
2017-2018,LAC,25846.77142011604
2017-2018,LAL,25861.07510851343
2017-2018,MEM,22156.94969524004
2017-2018,MIA,27783.407874138236
2017-2018,MIL,28273.06537547892
2017-2018,MIN,32188.705054521324
2017-2018,NOP,30022.198157601568
2017-2018,NYK,25673.993087808558
2017-2018,OKC,30090.426977738043
2017-2018,ORL,24663.597243526932
2017-2018,PHI,27861.12979588482
2017-2018,PHO,22050.103879913
2017-2018,POR,28867.62449173265
2017-2018,SAC,25361.27502315628
2017-2018,SAS,28034.33702322032
2017-2018,TOR,31687.03034959864
2017-2018,UTA,27857.42203054343
2017-2018,WAS,28809.377272892136
2018-2019,ATL,25481.134659176663
2018-2019,BOS,29683.506133911138
2018-2019,BRK,26661.499128902575
2018-2019,CHI,21778.923708859144
2018-2019,CHO,27549.46581613517
2018-2019,CLE,23140.801383044996
2018-2019,DAL,24053.3502367364
2018-2019,DEN,30054.47968826843
2018-2019,DET,25632.975818337585
2018-2019,GSW,31067.439836863286
2018-2019,HOU,29922.11818882204
2018-2019,IND,28677.12006701756
2018-2019,LAC,26498.89775552791
2018-2019,LAL,24517.370391558714
2018-2019,MEM,21499.302012526558
2018-2019,MIA,26751.08353099201
2018-2019,MIL,29491.323459008534
2018-2019,MIN,27477.064496168492
2018-2019,NOP,26433.420179443492
2018-2019,NYK,21126.817928419412
2018-2019,OKC,28860.83512631756
2018-2019,ORL,27684.40743564497
2018-2019,PHI,26236.417408460435
2018-2019,PHO,24553.970148910452
2018-2019,POR,29508.526908178665
2018-2019,SAC,27441.532927675104
2018-2019,SAS,30304.895408794186
2018-2019,TOR,28988.71077583026
2018-2019,UTA,28145.70872169587
2018-2019,WAS,25167.39405646474
