,Season,Tm,log(PER * MP)
211,2005-2006,DET,12.931510166396409
212,2005-2006,GSW,12.760273699980694
213,2005-2006,HOU,12.688107462947567
214,2005-2006,IND,12.741969996968459
215,2005-2006,LAC,12.816958809239853
216,2005-2006,LAL,12.854882186591151
217,2005-2006,MEM,12.806968994625874
218,2005-2006,MIA,12.844930005817014
219,2005-2006,MIL,12.79990729177315
220,2005-2006,MIN,12.713318987197866
221,2005-2006,NJN,12.755400878346403
222,2005-2006,NOK,12.7441162763468
223,2005-2006,NYK,12.598282509963875
224,2005-2006,ORL,12.756687437614636
225,2005-2006,PHI,12.838384217181883
226,2005-2006,PHO,12.9267319554653
227,2005-2006,POR,12.66213952388762
228,2005-2006,SAC,12.820833750576755
229,2005-2006,SAS,12.855796023035015
230,2005-2006,SEA,12.83118218963217
231,2005-2006,TOR,12.815661677967972
232,2005-2006,UTA,12.7513104418331
233,2005-2006,WAS,12.853568025808096
234,2006-2007,ATL,12.712353726439646
235,2006-2007,BOS,12.68965208512638
236,2006-2007,CHA,12.72577188414564
237,2006-2007,CHI,12.789502794024319
238,2006-2007,CLE,12.796022447491353
239,2006-2007,DAL,12.888617157824314
240,2006-2007,DEN,12.819679033206537
241,2006-2007,DET,12.878226997702594
242,2006-2007,GSW,12.76426775348094
243,2006-2007,HOU,12.799034440871194
244,2006-2007,IND,12.651149505679555
245,2006-2007,LAC,12.792317537129083
246,2006-2007,LAL,12.83194005859727
247,2006-2007,MEM,12.75500688147613
248,2006-2007,MIA,12.77164201577782
249,2006-2007,MIL,12.761472044782286
250,2006-2007,MIN,12.750042359059345
251,2006-2007,NJN,12.741928761605317
252,2006-2007,NOK,12.760143591175469
253,2006-2007,NYK,12.752755948161827
254,2006-2007,ORL,12.750774874170482
255,2006-2007,PHI,12.727856804649042
256,2006-2007,PHO,12.94381747554382
257,2006-2007,POR,12.735837627858936
258,2006-2007,SAC,12.783407812253063
259,2006-2007,SAS,12.871413494310804
260,2006-2007,SEA,12.813525230641604
261,2006-2007,TOR,12.80633818572032
262,2006-2007,UTA,12.838592379872496
263,2006-2007,WAS,12.848268925048313
264,2007-2008,ATL,12.793883451319472
265,2007-2008,BOS,12.846523598714086
266,2007-2008,CHA,12.745813138971485
267,2007-2008,CHI,12.698632183516596
268,2007-2008,CLE,12.711217800610346
269,2007-2008,DAL,12.822255675493539
270,2007-2008,DEN,12.88289728130119
271,2007-2008,DET,12.85459649653689
272,2007-2008,GSW,12.866507814486711
273,2007-2008,HOU,12.751040182916595
274,2007-2008,IND,12.714148256141554
275,2007-2008,LAC,12.619962109844536
276,2007-2008,LAL,12.886845288786457
277,2007-2008,MEM,12.686796822754102
278,2007-2008,MIA,12.542357588609418
279,2007-2008,MIL,12.723764679486077
280,2007-2008,MIN,12.690513894253586
281,2007-2008,NJN,12.649000701016208
282,2007-2008,NOH,12.874665493415755
283,2007-2008,NYK,12.691731575947111
284,2007-2008,ORL,12.831939157014176
285,2007-2008,PHI,12.814265904924813
286,2007-2008,PHO,12.906760963073305
287,2007-2008,POR,12.785108910712562
288,2007-2008,SAC,12.76926708866189
289,2007-2008,SAS,12.769872407734775
290,2007-2008,SEA,12.656869891010988
291,2007-2008,TOR,12.855754797748844
292,2007-2008,UTA,12.900783930128462
293,2007-2008,WAS,12.849346682907465
294,2008-2009,ATL,12.776107663398815
295,2008-2009,BOS,12.779314869452028
296,2008-2009,CHA,12.60188555838665
297,2008-2009,CHI,12.725791986845504
298,2008-2009,CLE,12.838061598648412
299,2008-2009,DAL,12.809862258814174
300,2008-2009,DEN,12.79459458925405
301,2008-2009,DET,12.748588532845563
302,2008-2009,GSW,12.75483251156825
303,2008-2009,HOU,12.749626236510984
304,2008-2009,IND,12.726249659732426
305,2008-2009,LAC,12.574363105310841
306,2008-2009,LAL,12.854401570898489
307,2008-2009,MEM,12.663594303692681
308,2008-2009,MIA,12.748407786472384
309,2008-2009,MIL,12.645491697105651
310,2008-2009,MIN,12.644190717005849
311,2008-2009,NJN,12.731699514793512
312,2008-2009,NOH,12.760197240943222
313,2008-2009,NYK,12.688820599581653
314,2008-2009,OKC,12.595721126198189
315,2008-2009,ORL,12.761096968248088
316,2008-2009,PHI,12.758186015369773
317,2008-2009,PHO,12.807148475299226
318,2008-2009,POR,12.852359743526282
319,2008-2009,SAC,12.590095889800752
320,2008-2009,SAS,12.754067103712066
321,2008-2009,TOR,12.716655109575887
322,2008-2009,UTA,12.786375462800677
323,2008-2009,WAS,12.657342613174345
324,2009-2010,ATL,12.867391788342754
325,2009-2010,BOS,12.758263250430492
326,2009-2010,CHA,12.6919313429347
327,2009-2010,CHI,12.716612909658938
328,2009-2010,CLE,12.840263721863773
329,2009-2010,DAL,12.795962408166448
330,2009-2010,DEN,12.840658454388041
331,2009-2010,DET,12.691311341553538
332,2009-2010,GSW,12.65680507372656
333,2009-2010,HOU,12.731971848973068
334,2009-2010,IND,12.647461586430364
335,2009-2010,LAC,12.653429659096858
336,2009-2010,LAL,12.810191423078248
337,2009-2010,MEM,12.790111978563482
338,2009-2010,MIA,12.783357551705775
339,2009-2010,MIL,12.688934597953404
340,2009-2010,MIN,12.62240477484798
341,2009-2010,NJN,12.607025657360007
342,2009-2010,NOH,12.757317109069064
343,2009-2010,NYK,12.705457448063818
344,2009-2010,OKC,12.804410611872115
345,2009-2010,ORL,12.833757905562663
346,2009-2010,PHI,12.751000948120979
347,2009-2010,PHO,12.877920144152919
348,2009-2010,POR,12.757872646876613
349,2009-2010,SAC,12.657236393646283
350,2009-2010,SAS,12.786534592501813
351,2009-2010,TOR,12.795153868906885
352,2009-2010,UTA,12.815898328496104
353,2009-2010,WAS,12.609978642494212
354,2010-2011,ATL,12.747545712641791
355,2010-2011,BOS,12.74632408034496
356,2010-2011,CHA,12.665398552583705
357,2010-2011,CHI,12.842431752370826
358,2010-2011,CLE,12.55988764291596
359,2010-2011,DAL,12.79745694816994
360,2010-2011,DEN,12.794758105936786
361,2010-2011,DET,12.806171789554966
362,2010-2011,GSW,12.781265187014546
363,2010-2011,HOU,12.838908249249194
364,2010-2011,IND,12.700302115573244
365,2010-2011,LAC,12.690590321290331
366,2010-2011,LAL,12.887645707397853
367,2010-2011,MEM,12.829997164819392
368,2010-2011,MIA,12.846411497026912
369,2010-2011,MIL,12.67606797982196
370,2010-2011,MIN,12.6493206293031
371,2010-2011,NJN,12.6397714156214
372,2010-2011,NOH,12.77559158943078
373,2010-2011,NYK,12.804925769461711
374,2010-2011,OKC,12.87959074350496
375,2010-2011,ORL,12.751180613726488
376,2010-2011,PHI,12.82197455194707
377,2010-2011,PHO,12.758357827095136
378,2010-2011,POR,12.829030143547532
379,2010-2011,SAC,12.681971026757326
380,2010-2011,SAS,12.870970977759118
381,2010-2011,TOR,12.695222603515441
382,2010-2011,UTA,12.778891674289502
383,2010-2011,WAS,12.620517647513266
384,2011-2012,ATL,12.558692004323337
385,2011-2012,BOS,12.428597957688517
386,2011-2012,CHA,12.295240570989389
387,2011-2012,CHI,12.605731846646536
388,2011-2012,CLE,12.365300687695525
389,2011-2012,DAL,12.528006047018893
390,2011-2012,DEN,12.561284920553835
391,2011-2012,DET,12.426105535172503
392,2011-2012,GSW,12.487080315825278
393,2011-2012,HOU,12.536067709852157
394,2011-2012,IND,12.566898587835041
395,2011-2012,LAC,12.588452697547007
396,2011-2012,LAL,12.562552415804024
397,2011-2012,MEM,12.53497702631514
398,2011-2012,MIA,12.5956647033601
399,2011-2012,MIL,12.469599427849246
400,2011-2012,MIN,12.472004647359803
401,2011-2012,NJN,12.408741691927599
402,2011-2012,NOH,12.40550684923969
403,2011-2012,NYK,12.459249961600964
404,2011-2012,OKC,12.631799766656307
405,2011-2012,ORL,12.51446061304441
406,2011-2012,PHI,12.582908468364957
407,2011-2012,PHO,12.539679461455773
408,2011-2012,POR,12.510223708827546
409,2011-2012,SAC,12.491594059887465
410,2011-2012,SAS,12.5987784076113
411,2011-2012,TOR,12.389065411887861
412,2011-2012,UTA,12.581253642156351
413,2011-2012,WAS,12.36899112207712
414,2012-2013,ATL,12.733589915245451
415,2012-2013,BOS,12.726382229641374
416,2012-2013,BRK,12.824625842934756
417,2012-2013,CHA,12.662517810502418
418,2012-2013,CHI,12.75298226020964
419,2012-2013,CLE,12.665929941729274
420,2012-2013,DAL,12.764612664818442
421,2012-2013,DEN,12.897716258993004
422,2012-2013,DET,12.698178617274229
423,2012-2013,GSW,12.774622480044318
424,2012-2013,HOU,12.786390256102838
425,2012-2013,IND,12.762690294930668
426,2012-2013,LAC,12.88356454022546
427,2012-2013,LAL,12.819326387741642
428,2012-2013,MEM,12.773569967047637
429,2012-2013,MIA,12.929215715594959
430,2012-2013,MIL,12.752613622060531
431,2012-2013,MIN,12.711177266781126
432,2012-2013,NOH,12.752377294546626
433,2012-2013,NYK,12.807850061690237
434,2012-2013,OKC,12.927229790422489
435,2012-2013,ORL,12.61881421773305
436,2012-2013,PHI,12.727997507471473
437,2012-2013,PHO,12.685507963222747
438,2012-2013,POR,12.742394346444199
439,2012-2013,SAC,12.70140602561367
440,2012-2013,SAS,12.824212665655995
441,2012-2013,TOR,12.712553846954865
442,2012-2013,UTA,12.818014368259613
443,2012-2013,WAS,12.621202586208462
444,2013-2014,ATL,12.753834563801792
445,2013-2014,BOS,12.641384732862452
446,2013-2014,BRK,12.70542546996152
447,2013-2014,CHA,12.715487293434776
448,2013-2014,CHI,12.739483321428478
449,2013-2014,CLE,12.692549261420417
450,2013-2014,DAL,12.883028979873446
451,2013-2014,DEN,12.697085927143338
452,2013-2014,DET,12.779819701865607
453,2013-2014,GSW,12.804108969061273
454,2013-2014,HOU,12.854069579276816
455,2013-2014,IND,12.71781058489784
456,2013-2014,LAC,12.866672448075441
457,2013-2014,LAL,12.618395552052657
458,2013-2014,MEM,12.767595622382785
459,2013-2014,MIA,12.867850757574505
460,2013-2014,MIL,12.561618430370222
461,2013-2014,MIN,12.795584102747187
462,2013-2014,NOP,12.75042192149345
463,2013-2014,NYK,12.757441964205361
464,2013-2014,OKC,12.868670840935945
465,2013-2014,ORL,12.694006613214551
466,2013-2014,PHI,12.582634831061501
467,2013-2014,PHO,12.826742438008585
468,2013-2014,POR,12.848771221072646
469,2013-2014,SAC,12.658830149324258
470,2013-2014,SAS,12.852057199654446
471,2013-2014,TOR,12.780557795561126
472,2013-2014,UTA,12.702289696123799
473,2013-2014,WAS,12.760926021917387
474,2014-2015,ATL,12.817424082323809
475,2014-2015,BOS,12.622768888843302
476,2014-2015,BRK,12.689191499932841
477,2014-2015,CHI,12.810312636124621
478,2014-2015,CHO,12.627107314487137
479,2014-2015,CLE,12.79270710750948
480,2014-2015,DAL,12.768763970277343
481,2014-2015,DEN,12.604344924803176
482,2014-2015,DET,12.689812970888942
483,2014-2015,GSW,12.895812697220766
484,2014-2015,HOU,12.736898976768568
485,2014-2015,IND,12.667678760481731
486,2014-2015,LAC,12.864000389371077
487,2014-2015,LAL,12.648185029972781
488,2014-2015,MEM,12.762905470004558
489,2014-2015,MIA,12.629321969615429
490,2014-2015,MIL,12.687920702305286
491,2014-2015,MIN,12.528480629215801
492,2014-2015,NOP,12.795310491398856
493,2014-2015,NYK,12.401704661908454
494,2014-2015,OKC,12.692481953124771
495,2014-2015,ORL,12.649260301914774
496,2014-2015,PHI,12.41431856394196
497,2014-2015,PHO,12.742883821247325
498,2014-2015,POR,12.753780759782996
499,2014-2015,SAC,12.682342939531996
500,2014-2015,SAS,12.820225478141408
501,2014-2015,TOR,12.851273863723964
502,2014-2015,UTA,12.746680974562484
503,2014-2015,WAS,12.716820920721625
504,2015-2016,ATL,12.693983502857964
505,2015-2016,BOS,12.707418385661313
506,2015-2016,BRK,12.55508915464645
507,2015-2016,CHI,12.638286411488085
508,2015-2016,CHO,12.698433419000295
509,2015-2016,CLE,12.744723106681477
510,2015-2016,DAL,12.650728812611764
511,2015-2016,DEN,12.62974283598528
512,2015-2016,DET,12.667751785761991
513,2015-2016,GSW,12.844680583700082
514,2015-2016,HOU,12.693306292198974
515,2015-2016,IND,12.684965731477204
516,2015-2016,LAC,12.719493579170916
517,2015-2016,LAL,12.535254360647363
518,2015-2016,MEM,12.59169057967437
519,2015-2016,MIA,12.724167346009317
520,2015-2016,MIL,12.68776298210479
521,2015-2016,MIN,12.69876848525184
522,2015-2016,NOP,12.565508559836545
523,2015-2016,NYK,12.67238574515954
524,2015-2016,OKC,12.818593128624887
525,2015-2016,ORL,12.64253314792279
526,2015-2016,PHI,12.523272976878486
527,2015-2016,PHO,12.53128620010391
528,2015-2016,POR,12.718005073334078
529,2015-2016,SAC,12.703487402546637
530,2015-2016,SAS,12.79267709547309
531,2015-2016,TOR,12.767474782205701
532,2015-2016,UTA,12.669726113847437
533,2015-2016,WAS,12.645581260881796
534,2016-2017,ATL,12.655961384134244
535,2016-2017,BOS,12.765150446028581
536,2016-2017,BRK,12.532677624488068
537,2016-2017,CHI,12.70921968047758
538,2016-2017,CHO,12.753577941187247
539,2016-2017,CLE,12.767768822935274
540,2016-2017,DAL,12.593418243315122
541,2016-2017,DEN,12.76353955230476
542,2016-2017,DET,12.692542980569758
543,2016-2017,GSW,12.88306125363561
544,2016-2017,HOU,12.81962067355994
545,2016-2017,IND,12.763401449903352
546,2016-2017,LAC,12.818000553295105
547,2016-2017,LAL,12.616034146787792
548,2016-2017,MEM,12.676310323493544
549,2016-2017,MIA,12.721874007134161
550,2016-2017,MIL,12.75242320237644
551,2016-2017,MIN,12.796130348175526
552,2016-2017,NOP,12.622856136159102
553,2016-2017,NYK,12.707868512917813
554,2016-2017,OKC,12.70514873939834
555,2016-2017,ORL,12.653773636240107
556,2016-2017,PHI,12.554380920821615
557,2016-2017,PHO,12.662637924908314
558,2016-2017,POR,12.761994923181366
559,2016-2017,SAC,12.611342205136612
560,2016-2017,SAS,12.81735961443887
561,2016-2017,TOR,12.785542316353553
562,2016-2017,UTA,12.738282529328448
563,2016-2017,WAS,12.780677681721285
564,2017-2018,ATL,12.565237853602575
565,2017-2018,BOS,12.680533550814594
566,2017-2018,BRK,12.6165829576001
567,2017-2018,CHI,12.566733052746217
568,2017-2018,CHO,12.730108226387472
569,2017-2018,CLE,12.671439868883247
570,2017-2018,DAL,12.634431657629715
571,2017-2018,DEN,12.788109847703135
572,2017-2018,DET,12.665684209128141
573,2017-2018,GSW,12.777350122253413
574,2017-2018,HOU,12.849070730228432
575,2017-2018,IND,12.784590272202855
576,2017-2018,LAC,12.644847625217022
577,2017-2018,LAL,12.64540087543812
578,2017-2018,MEM,12.490813132042943
579,2017-2018,MIA,12.717100932227622
580,2017-2018,MIL,12.734571526697723
581,2017-2018,MIN,12.864277545080355
582,2017-2018,NOP,12.794598975399422
583,2017-2018,NYK,12.638140466203598
584,2017-2018,OKC,12.79686900933262
585,2017-2018,ORL,12.597990289490154
586,2017-2018,PHI,12.719894448915671
587,2017-2018,PHO,12.485979241759061
588,2017-2018,POR,12.755382636126845
589,2017-2018,SAC,12.625885334013658
590,2017-2018,SAS,12.726092009884246
591,2017-2018,TOR,12.84856938869726
592,2017-2018,UTA,12.719761359837607
593,2017-2018,WAS,12.75336286266914
594,2018-2019,ATL,12.63060028984747
595,2018-2019,BOS,12.783253471288843
596,2018-2019,BRK,12.67588247333147
597,2018-2019,CHI,12.473604628564438
598,2018-2019,CHO,12.708645074567112
599,2018-2019,CLE,12.534259281873982
600,2018-2019,DAL,12.572936218602951
601,2018-2019,DEN,12.795673653125663
602,2018-2019,DET,12.636541569247347
603,2018-2019,GSW,12.828822248936566
604,2018-2019,HOU,12.79125987445151
605,2018-2019,IND,12.748761523386218
606,2018-2019,LAC,12.669765066766232
607,2018-2019,LAL,12.592043790676017
608,2018-2019,MEM,12.460682398843122
609,2018-2019,MIA,12.679236907123292
610,2018-2019,MIL,12.776758028820522
611,2018-2019,MIN,12.70601356713474
612,2018-2019,NOP,12.667291054214488
613,2018-2019,NYK,12.443205154093956
614,2018-2019,OKC,12.755147418853031
615,2018-2019,ORL,12.713531275010512
616,2018-2019,PHI,12.659810351834956
617,2018-2019,PHO,12.593535486795801
618,2018-2019,POR,12.777341198084534
619,2018-2019,SAC,12.70471959477864
620,2018-2019,SAS,12.803971192881972
621,2018-2019,TOR,12.759568399374023
622,2018-2019,UTA,12.730056828456169
623,2018-2019,WAS,12.61821119884521
