,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
18,Toronto Raptors*,29.3,45,37,41,41,-0.16,-0.30,-0.46,104.7,104.9,-0.2,92.5,.300,.170,.511,.464,12.7,30.1,.230,.480,14.2,71.8,.247,Air Canada Centre,756496,
19,Houston Rockets,26.3,34,48,39,43,-0.87,0.30,-0.57,104.8,105.7,-0.9,94.2,.322,.244,.536,.494,15.8,29.1,.236,.481,12.5,71.6,.201,Compaq Center,624594,
20,Boston Celtics,25.4,35,47,39,43,-0.76,-0.24,-1.00,104.8,105.6,-0.8,94.6,.316,.183,.520,.474,13.8,30.4,.236,.498,15.8,73.8,.306,FleetCenter,683608,
21,New Jersey Nets,27.3,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,.297,.200,.517,.468,12.6,28.1,.233,.491,15.2,67.2,.223,Continental Airlines Arena,643631,
22,Denver Nuggets,25.9,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,.306,.202,.517,.476,14.0,29.2,.222,.479,13.0,71.6,.235,Pepsi Center,637698,
23,Washington Wizards,28.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,.315,.133,.521,.476,14.8,30.6,.234,.489,13.9,71.7,.273,MCI Center,616593,
24,Cleveland Cavaliers,27.2,32,50,31,51,-3.50,-0.14,-3.64,100.4,104.0,-3.6,95.7,.327,.136,.516,.468,15.6,28.1,.245,.474,15.1,71.2,.275,Gund Arena,603702,
25,Vancouver Grizzlies,25.3,22,60,25,57,-5.62,0.52,-5.10,102.3,108.5,-6.2,91.0,.320,.139,.524,.474,15.8,30.1,.247,.502,14.1,70.6,.231,General Motors Place,569864,
26,Atlanta Hawks,27.6,28,54,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,.292,.120,.503,.460,14.1,31.7,.217,.481,11.3,71.0,.196,Philips Arena,600954,
27,Golden State Warriors,26.9,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,.301,.150,.484,.444,13.9,32.6,.210,.499,14.6,69.1,.259,The Arena in Oakland,509171,
28,Chicago Bulls,26.0,17,65,15,67,-9.40,0.17,-9.23,94.2,104.6,-10.4,89.4,.338,.167,.490,.443,18.0,29.9,.240,.484,14.5,69.9,.240,United Center,907064,
29,Los Angeles Clippers,24.2,15,67,13,69,-11.52,0.80,-10.73,97.8,110.1,-12.3,93.9,.270,.188,.499,.458,14.9,26.1,.202,.507,13.1,69.6,.220,STAPLES Center,559714,
,League Average,27.8,,,41,41,0.00,0.00,0.00,104.1,104.1,,93.1,.308,.167,.523,.478,14.2,28.9,.231,.478,14.2,71.1,.231,,691469,
,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,San Antonio Spurs*,29.5,58,24,63,19,7.76,0.16,7.92,106.6,98.0,+8.6,89.6,.374,.175,.541,.496,13.6,27.1,.267,.444,12.9,73.7,.182,Alamodome,913176,22273
2,Sacramento Kings*,27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,+6.0,94.4,.298,.194,.529,.484,13.4,27.2,.230,.460,14.5,70.7,.181,ARCO Arena (II),709997,17317
3,Utah Jazz*,32.0,53,29,55,27,4.70,0.31,5.00,107.6,102.4,+5.2,89.8,.363,.135,.546,.497,15.1,30.2,.273,.473,15.6,73.2,.301,Delta Center,792196,19322
4,Dallas Mavericks*,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,+4.5,93.2,.291,.202,.544,.498,13.1,24.1,.231,.467,14.2,70.7,.244,Reunion Arena,680238,16591
5,Portland Trail Blazers*,30.1,50,32,53,29,4.20,0.33,4.52,106.5,101.8,+4.7,89.1,.296,.165,.539,.497,14.8,30.0,.225,.470,14.3,72.4,.223,Rose Garden Arena,831376,20277
6,Los Angeles Lakers*,29.2,56,26,51,31,3.38,0.37,3.74,108.4,104.8,+3.6,91.7,.349,.191,.535,.498,13.3,31.1,.238,.468,12.2,72.5,.234,STAPLES Center,776336,18935
